skos:altLabel-	skos:altLabel-	0.7158222217393702
skos:altLabel-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLinkText-	0.8065939372736112
skos:altLabel-	rdfs:label-	0.5630485415678782
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.3520214703892425
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.5438817991471688
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character	http://dbkwik.webdatacommons.org/ontology/thumbnail-	0.12142823052602043
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character	http://dbkwik.webdatacommons.org/ontology/wikiPageDisambiguates-	0.38886820390338994
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character	http://dbkwik.webdatacommons.org/marvel.wikia.com/property/mainCharacter-	0.24890565845639362
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.5033283322443599
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.32577368811211327
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character-	http://dbkwik.webdatacommons.org/ontology/thumbnail	0.11237417551733067
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character-	http://dbkwik.webdatacommons.org/ontology/wikiPageDisambiguates	0.35987301807205885
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/character-	http://dbkwik.webdatacommons.org/marvel.wikia.com/property/mainCharacter	0.23034650204049395
http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLinkText-	skos:altLabel-	0.2647733639489273
http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLinkText-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLinkText-	0.3862675628483783
http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLinkText-	rdfs:label-	0.19662212310827873
rdfs:label-	skos:altLabel-	0.7142496288149112
rdfs:label-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLinkText-	0.8022595795115709
rdfs:label-	rdfs:label-	0.6026443250042043
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/status	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.14116733166257034
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/status	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.14116733166257034
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/planner	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.16128557437043028
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/planner	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.1343915250157826
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/planner-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.1343915250157826
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/planner-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.16128557437043028
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/movie	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.3111511665009756
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/movie-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.3111511665009758
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/alias	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.19305237351753013
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/alias	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.21201522960678554
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/alias-	skos:altLabel-	0.23496820198746105
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/alias-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLinkText-	0.31935204963086916
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/alias-	rdfs:label-	0.1635326713678512
http://dbkwik.webdatacommons.org/ontology/wikiPageExternalLink	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.14019884401645943
http://dbkwik.webdatacommons.org/ontology/wikiPageExternalLink-	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink-	0.1401988440164588
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/creator	http://dbkwik.webdatacommons.org/ontology/wikiPageWikiLink	0.19185590541159833
