skos:Concept	skos:Concept	0.12696560555549474
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/episode	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/a	0.2617507160849071
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/filmmaker	owl:Thing	0.13225178274456661
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/organization	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.15221482131023722
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/organization	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.42563302821846694
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.13675862599627042
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.29323872890547165
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/item	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.24979513892525151
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/location	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.3089220322449815
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/armor	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.19424567066392107
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/armor	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.33691959847024955
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/vehicle	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.27149065368269376
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/disambig	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.115683547772655
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/wp	owl:Thing	0.1458312614063122
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.11422347153199308
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/apn	0.4615360058622626
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/minor	0.11538461454546156
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/imdb	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/ed	0.16666662886206485
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/war	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/c	0.1025666273230873
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/war	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.10663409461802886
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/project	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.1311237192957273
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/project	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.24381645635909277
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/race	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.42818768249935957
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/race	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.1904761731115543
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/section	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/discordintegrator	0.9209241769491081
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/marvel	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.16666657297251153
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/marvel	owl:Thing	0.3325768593849088
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/marvel	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/c	0.15806372642296573
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/marvel	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.16666662761507078
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/game	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/a	0.499999929326045
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/web_series	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/ed	0.19544143908247058
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/otheruses	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.9788196100492085
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/tv	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.4272732132068793
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/tv	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/disambiguation	0.214181314560016
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/youtube	skos:Concept	0.33321426431689793
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/one-shot	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/a	0.24999997964079657
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/one-shot	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.12499999183833488
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/one-shot	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/c	0.12499999097683911
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/one-shot	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/apn	0.12499999056
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/one-shot	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/minor	0.12499998168222837
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/one-shot	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/quote	0.12499998900647069
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/one-shot	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/drawing	0.12499998394976519
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/linkedin	skos:Concept	0.3998975048427089
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/rewrite	owl:Thing	0.7071041773890332
http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/phase_one	http://dbkwik.webdatacommons.org/marvel.wikia.com/class/r	0.8778502023543021
