,predicate,functionality,inverse_functionality,inversability
0,http://dbpedia.org/ontology/Person/height,1.0,0.01426053517064573,0.01426053517064573
1,http://dbpedia.org/ontology/careerStation,1.0,1.0,1.0
2,http://dbpedia.org/ontology/birthYear,1.0,0.013168395849960097,0.013168395849960097
3,http://xmlns.com/foaf/0.1/gender,1.0,9.49893137022085e-05,9.49893137022085e-05
4,http://dbpedia.org/ontology/team,1.0,0.20397219463753724,0.20397219463753724
5,http://purl.org/dc/elements/1.1/description,1.0,0.08301563837236443,0.08301563837236443
6,http://dbpedia.org/ontology/position,1.0,0.0036872023352281457,0.0036872023352281457
7,http://dbpedia.org/ontology/birthPlace,1.0,0.2860805402701351,0.2860805402701351
8,http://www.w3.org/2000/01/rdf-schema#label,1.0,1.0,1.0
9,http://dbpedia.org/ontology/areaMetro,1.0,1.0,1.0
10,http://xmlns.com/foaf/0.1/surname,1.0,0.740973156033667,0.740973156033667
11,http://dbpedia.org/ontology/height,1.0,0.012827365045430252,0.012827365045430252
12,http://dbpedia.org/ontology/birthDate,1.0,0.5734674018812844,0.5734674018812844
13,http://www.w3.org/2003/01/geo/wgs84_pos#long,1.0,0.9691524408505541,0.9691524408505541
14,http://dbpedia.org/ontology/deathYear,1.0,0.11318989710009354,0.11318989710009354
15,http://www.w3.org/2003/01/geo/wgs84_pos#lat,1.0,0.9442111577684463,0.9442111577684463
16,http://xmlns.com/foaf/0.1/givenName,1.0,0.29539829267060663,0.29539829267060663
17,http://dbpedia.org/ontology/deathPlace,1.0,0.530952380952381,0.530952380952381
18,http://dbpedia.org/ontology/distanceToCharingCross,1.0,1.0,1.0
19,http://dbpedia.org/ontology/alias,1.0,0.9935125115848007,0.9935125115848007
20,http://dbpedia.org/ontology/isPartOf,1.0,0.5431107354184277,0.5431107354184277
21,http://dbpedia.org/ontology/number,1.0,0.027054108216432865,0.027054108216432865
22,http://dbpedia.org/ontology/restingPlace,1.0,1.0,1.0
23,http://dbpedia.org/ontology/country,1.0,0.049576783555018135,0.049576783555018135
24,http://dbpedia.org/ontology/title,1.0,1.0,1.0
25,http://dbpedia.org/ontology/deathDate,1.0,0.8532002348796242,0.8532002348796242
26,http://dbpedia.org/ontology/populationTotal,1.0,0.8009848173984407,0.8009848173984407
27,http://dbpedia.org/ontology/PopulatedPlace/populationDensity,1.0,0.8872691933916423,0.8872691933916423
28,http://dbpedia.org/ontology/managerClub,1.0,0.6374089689536221,0.6374089689536221
29,http://dbpedia.org/ontology/weight,1.0,0.36649214659685864,0.36649214659685864
30,http://dbpedia.org/ontology/governor,1.0,1.0,1.0
31,http://dbpedia.org/ontology/nationality,1.0,0.3181818181818182,0.3181818181818182
32,http://dbpedia.org/ontology/influencedBy,1.0,0.9054054054054054,0.9054054054054054
33,http://dbpedia.org/ontology/Person/weight,1.0,0.5480769230769231,0.5480769230769231
34,http://dbpedia.org/ontology/area,1.0,0.42857142857142855,0.42857142857142855
35,http://dbpedia.org/ontology/birthName,1.0,1.0,1.0
36,http://dbpedia.org/ontology/viafId,1.0,1.0,1.0
37,http://dbpedia.org/ontology/influenced,1.0,0.9819819819819819,0.9819819819819819
38,http://dbpedia.org/ontology/twinCountry,1.0,1.0,1.0
39,http://dbpedia.org/ontology/distanceToLondon,1.0,0.6730769230769231,0.6730769230769231
40,http://dbpedia.org/ontology/notableWork,1.0,1.0,1.0
41,http://dbpedia.org/ontology/stateOfOrigin,1.0,0.7272727272727273,0.7272727272727273
42,http://dbpedia.org/ontology/metropolitanBorough,1.0,0.44,0.44
43,http://dbpedia.org/ontology/militaryBranch,1.0,0.5714285714285714,0.5714285714285714
44,http://dbpedia.org/ontology/award,1.0,0.9354838709677419,0.9354838709677419
45,http://dbpedia.org/ontology/doctoralAdvisor,1.0,1.0,1.0
46,http://dbpedia.org/ontology/formerTeam,1.0,0.7301587301587301,0.7301587301587301
47,http://dbpedia.org/ontology/almaMater,1.0,0.8507462686567164,0.8507462686567164
48,http://dbpedia.org/ontology/councilArea,1.0,0.3088235294117647,0.3088235294117647
49,http://dbpedia.org/ontology/hometown,1.0,1.0,1.0
50,http://dbpedia.org/ontology/monarch,1.0,0.8,0.8
51,http://dbpedia.org/ontology/principalArea,1.0,0.5454545454545454,0.5454545454545454
52,http://dbpedia.org/ontology/choreographer,1.0,1.0,1.0
53,http://dbpedia.org/ontology/pseudonym,1.0,1.0,1.0
54,http://dbpedia.org/ontology/religion,1.0,0.45,0.45
55,http://dbpedia.org/ontology/spouse,1.0,1.0,1.0
56,http://dbpedia.org/ontology/relative,1.0,1.0,1.0
57,http://dbpedia.org/ontology/soundRecording,1.0,1.0,1.0
58,http://dbpedia.org/ontology/termPeriod,1.0,1.0,1.0
59,http://dbpedia.org/ontology/activeYearsEndYear,1.0,0.68,0.68
60,http://dbpedia.org/ontology/occupation,1.0,0.6936416184971098,0.6936416184971098
61,http://dbpedia.org/ontology/parent,1.0,1.0,1.0
62,http://dbpedia.org/ontology/associatedMusicalArtist,1.0,1.0,1.0
63,http://dbpedia.org/ontology/militaryUnit,1.0,1.0,1.0
64,http://dbpedia.org/ontology/activeYearsStartYear,1.0,0.6666666666666666,0.6666666666666666
65,http://dbpedia.org/ontology/language,1.0,0.7857142857142857,0.7857142857142857
66,http://dbpedia.org/ontology/institution,1.0,1.0,1.0
67,http://dbpedia.org/ontology/personFunction,1.0,1.0,1.0
68,http://dbpedia.org/ontology/picture,1.0,1.0,1.0
69,http://dbpedia.org/ontology/selibrId,1.0,1.0,1.0
70,http://dbpedia.org/ontology/era,1.0,0.3333333333333333,0.3333333333333333
71,http://dbpedia.org/ontology/ethnicity,1.0,1.0,1.0
72,http://dbpedia.org/ontology/lieutenancyArea,1.0,0.55,0.55
73,http://dbpedia.org/ontology/foundingPerson,1.0,1.0,1.0
74,http://dbpedia.org/ontology/PopulatedPlace/areaUrban,1.0,1.0,1.0
75,http://dbpedia.org/ontology/residence,1.0,0.92,0.92
76,http://dbpedia.org/ontology/activeYearsStartDate,1.0,1.0,1.0
77,http://dbpedia.org/ontology/school,1.0,0.9736842105263158,0.9736842105263158
78,http://dbpedia.org/ontology/child,1.0,1.0,1.0
79,http://dbpedia.org/ontology/ethnicGroupsInYear,1.0,1.0,1.0
80,http://dbpedia.org/ontology/currentPartner,1.0,1.0,1.0
81,http://dbpedia.org/ontology/populationUrbanDensity,1.0,1.0,1.0
82,http://dbpedia.org/ontology/movement,1.0,0.66,0.66
83,http://dbpedia.org/ontology/associatedBand,1.0,1.0,1.0
84,http://dbpedia.org/ontology/architect,1.0,1.0,1.0
85,http://dbpedia.org/ontology/sheading,1.0,1.0,1.0
86,http://dbpedia.org/ontology/genre,1.0,0.535483870967742,0.535483870967742
87,http://dbpedia.org/ontology/parish,1.0,1.0,1.0
88,http://dbpedia.org/ontology/foundingYear,1.0,0.875,0.875
89,http://dbpedia.org/ontology/knownFor,1.0,1.0,1.0
90,http://dbpedia.org/ontology/sport,1.0,0.2222222222222222,0.2222222222222222
91,http://dbpedia.org/ontology/education,1.0,1.0,1.0
92,http://www.w3.org/2004/02/skos/core#subject,1.0,0.9285714285714286,0.9285714285714286
93,http://dbpedia.org/ontology/recordLabel,1.0,1.0,1.0
94,http://dbpedia.org/ontology/areaUrban,1.0,1.0,1.0
95,http://dbpedia.org/ontology/twinTown,1.0,1.0,1.0
96,http://dbpedia.org/ontology/debutTeam,1.0,0.8,0.8
97,http://dbpedia.org/ontology/party,1.0,0.6521739130434783,0.6521739130434783
98,http://dbpedia.org/ontology/field,1.0,1.0,1.0
99,http://dbpedia.org/ontology/statisticLabel,1.0,0.25,0.25
100,http://dbpedia.org/ontology/currency,1.0,1.0,1.0
101,http://dbpedia.org/ontology/isoCodeRegion,1.0,1.0,1.0
102,http://dbpedia.org/ontology/profession,1.0,1.0,1.0
103,http://dbpedia.org/ontology/formerCoach,1.0,0.8888888888888888,0.8888888888888888
104,http://dbpedia.org/ontology/veneratedIn,1.0,1.0,1.0
105,http://dbpedia.org/ontology/anthem,1.0,1.0,1.0
106,http://dbpedia.org/ontology/philosophicalSchool,1.0,0.875,0.875
107,http://dbpedia.org/ontology/PopulatedPlace/areaMetro,1.0,1.0,1.0
108,http://dbpedia.org/ontology/orderInOffice,1.0,0.8571428571428571,0.8571428571428571
109,http://dbpedia.org/ontology/bnfId,1.0,1.0,1.0
110,http://dbpedia.org/ontology/battle,1.0,0.7142857142857143,0.7142857142857143
111,http://dbpedia.org/ontology/governingBody,1.0,0.375,0.375
112,http://dbpedia.org/ontology/capital,1.0,1.0,1.0
113,http://dbpedia.org/ontology/borough,1.0,0.9090909090909091,0.9090909090909091
114,http://dbpedia.org/ontology/isniId,1.0,1.0,1.0
115,http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity,1.0,1.0,1.0
116,http://dbpedia.org/ontology/lccnId,1.0,1.0,1.0
117,http://dbpedia.org/ontology/militaryCommand,1.0,1.0,1.0
118,http://dbpedia.org/ontology/formerPartner,1.0,1.0,1.0
119,http://dbpedia.org/ontology/instrument,1.0,0.6666666666666666,0.6666666666666666
120,http://dbpedia.org/ontology/dissolutionYear,1.0,0.875,0.875
121,http://dbpedia.org/ontology/university,1.0,1.0,1.0
122,http://dbpedia.org/ontology/individualisedGnd,1.0,1.0,1.0
123,http://dbpedia.org/ontology/officialLanguage,1.0,0.875,0.875
124,http://dbpedia.org/ontology/predecessor,1.0,1.0,1.0
125,http://dbpedia.org/ontology/partner,1.0,1.0,1.0
126,http://dbpedia.org/ontology/office,1.0,1.0,1.0
127,http://dbpedia.org/ontology/longName,1.0,1.0,1.0
128,http://dbpedia.org/ontology/mainInterest,1.0,1.0,1.0
129,http://dbpedia.org/ontology/populationMetroDensity,1.0,1.0,1.0
130,http://dbpedia.org/ontology/areaRural,1.0,1.0,1.0
131,http://dbpedia.org/ontology/serviceEndYear,1.0,1.0,1.0
132,http://dbpedia.org/ontology/president,1.0,1.0,1.0
133,http://dbpedia.org/ontology/college,1.0,1.0,1.0
134,http://dbpedia.org/ontology/buildingStartYear,1.0,1.0,1.0
135,http://dbpedia.org/ontology/background,1.0,0.3,0.3
136,http://dbpedia.org/ontology/draftTeam,1.0,1.0,1.0
137,http://dbpedia.org/ontology/club,1.0,1.0,1.0
138,http://dbpedia.org/ontology/billed,1.0,1.0,1.0
139,http://dbpedia.org/ontology/canton,1.0,1.0,1.0
140,http://dbpedia.org/ontology/portrayer,1.0,1.0,1.0
141,http://dbpedia.org/ontology/coach,1.0,0.8333333333333334,0.8333333333333334
142,http://dbpedia.org/ontology/notableIdea,1.0,1.0,1.0
143,http://dbpedia.org/ontology/employer,1.0,1.0,1.0
144,http://dbpedia.org/ontology/draftPick,1.0,1.0,1.0
145,http://dbpedia.org/ontology/militaryRank,1.0,1.0,1.0
146,http://dbpedia.org/ontology/leader,1.0,0.7142857142857143,0.7142857142857143
147,http://dbpedia.org/ontology/bibsysId,1.0,1.0,1.0
148,http://dbpedia.org/ontology/plays,1.0,1.0,1.0
149,http://dbpedia.org/ontology/deathCause,1.0,1.0,1.0
150,http://dbpedia.org/ontology/day,1.0,1.0,1.0
151,http://dbpedia.org/ontology/flag,1.0,1.0,1.0
